Player,Total_Runs,Balls_Faced,Total_Balls,Times_Out,Matches_Played,4s,6s,Strike_Rate,Batting_Average,Wickets,Balls_Bowled,Runs_Conceded,Overs_Bowled,Economy,Fantasy_Batting,Fantasy_Bowling,Total_Fantasy_Points
STR Binny,880.0,700.0,700.0,44.0,66.0,66.0,35.0,125.71428571428571,20.0,28.0,611.0,763.0,101.5,7.4926350245499185,956.0,724.0,1680.0
SV Samson,3526.0,2663.0,2663.0,119.0,133.0,279.0,158.0,132.40705970709726,29.630252100840337,0.0,0.0,0.0,0.0,0.0,3911.0,0.0,3911.0
SW Billings,503.0,399.0,399.0,26.0,27.0,40.0,20.0,126.06516290726817,19.346153846153847,0.0,0.0,0.0,0.0,0.0,559.0,0.0,559.0
SW Tait,23.0,26.0,26.0,3.0,5.0,1.0,1.0,88.46153846153845,7.666666666666667,26.0,534.0,668.0,89.0,7.50561797752809,20.0,674.0,694.0
Sachin Baby,144.0,123.0,123.0,10.0,11.0,11.0,5.0,117.07317073170731,14.4,3.0,10.0,8.0,1.4,4.8,173.0,83.0,256.0
Salman Butt,193.0,172.0,172.0,7.0,7.0,30.0,2.0,112.20930232558139,27.571428571428573,0.0,0.0,0.0,0.0,0.0,241.0,0.0,241.0
Sandeep Sharma,52.0,66.0,66.0,5.0,23.0,4.0,0.0,78.78787878787878,10.4,123.0,2399.0,3046.0,399.5,7.618174239266361,58.0,3099.0,3157.0
Shahbaz Ahmed,279.0,253.0,253.0,15.0,19.0,18.0,11.0,110.27667984189723,18.6,13.0,341.0,478.0,56.5,8.410557184750733,317.0,349.0,666.0
Shahid Afridi,81.0,46.0,46.0,8.0,9.0,7.0,6.0,176.08695652173913,10.125,9.0,185.0,237.0,30.5,7.686486486486487,96.0,249.0,345.0
Shakib Al Hasan,795.0,665.0,665.0,40.0,52.0,73.0,21.0,119.54887218045114,19.875,71.0,1515.0,1864.0,252.3,7.3821782178217825,858.0,1799.0,2657.0
Shashank Singh,69.0,47.0,47.0,4.0,5.0,5.0,4.0,146.80851063829786,17.25,0.0,13.0,20.0,2.1,9.230769230769232,86.0,-2.0,84.0
Shivam Mavi,51.0,58.0,58.0,9.0,11.0,4.0,2.0,87.93103448275862,5.666666666666667,33.0,687.0,958.0,114.3,8.366812227074236,53.0,849.0,902.0
Shivam Sharma,5.0,3.0,3.0,1.0,2.0,1.0,0.0,166.66666666666669,5.0,4.0,114.0,165.0,19.0,8.68421052631579,4.0,108.0,112.0
Shoaib Ahmed,1.0,6.0,6.0,2.0,3.0,0.0,0.0,16.666666666666664,0.5,5.0,103.0,154.0,17.1,8.970873786407767,-3.0,149.0,146.0
Shoaib Akhtar,2.0,8.0,8.0,1.0,1.0,0.0,0.0,25.0,2.0,5.0,46.0,54.0,7.4,7.0434782608695645,0.0,149.0,149.0
Shoaib Malik,52.0,49.0,49.0,4.0,5.0,5.0,0.0,106.12244897959184,13.0,2.0,58.0,87.0,9.4,9.0,61.0,50.0,111.0
Shubman Gill,1900.0,1555.0,1555.0,59.0,70.0,188.0,47.0,122.18649517684888,32.20338983050848,0.0,0.0,0.0,0.0,0.0,2092.0,0.0,2092.0
Simarjeet Singh,7.0,8.0,8.0,1.0,3.0,0.0,0.0,87.5,7.0,4.0,113.0,143.0,18.5,7.592920353982302,5.0,108.0,113.0
Sohail Tanvir,36.0,31.0,31.0,3.0,5.0,3.0,1.0,116.12903225806453,12.0,24.0,265.0,275.0,44.1,6.226415094339623,39.0,624.0,663.0
Sunny Gupta,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,47.0,3.1,14.842105263157896,-2.0,-4.0,-6.0
Sunny Singh,43.0,31.0,31.0,4.0,5.0,6.0,1.0,138.70967741935485,10.75,0.0,0.0,0.0,0.0,0.0,47.0,0.0,47.0
Swapnil Singh,12.0,20.0,20.0,3.0,3.0,0.0,0.0,60.0,4.0,1.0,61.0,90.0,10.1,8.852459016393443,6.0,25.0,31.0
T Banton,18.0,22.0,22.0,2.0,2.0,1.0,1.0,81.81818181818183,9.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0
T Henderson,11.0,16.0,16.0,1.0,2.0,0.0,1.0,68.75,11.0,1.0,36.0,41.0,6.0,6.833333333333333,11.0,25.0,36.0
T Kohli,11.0,20.0,20.0,3.0,3.0,0.0,1.0,55.00000000000001,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0
T Natarajan,3.0,5.0,5.0,0.0,2.0,0.0,0.0,60.0,3.0,43.0,793.0,1116.0,132.1,8.443883984867592,3.0,1099.0,1102.0
T Shamsi,2.0,4.0,4.0,0.0,1.0,0.0,0.0,50.0,2.0,3.0,120.0,185.0,20.0,9.25,2.0,81.0,83.0
T Stubbs,2.0,4.0,4.0,1.0,2.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T Taibu,31.0,26.0,26.0,3.0,3.0,3.0,0.0,119.23076923076923,10.333333333333334,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0
T Thushara,12.0,19.0,19.0,2.0,4.0,0.0,0.0,63.1578947368421,6.0,10.0,144.0,164.0,24.0,6.833333333333333,8.0,274.0,282.0
TA Boult,53.0,49.0,49.0,5.0,14.0,2.0,2.0,108.16326530612245,10.6,99.0,1860.0,2522.0,310.0,8.135483870967741,61.0,2499.0,2560.0
TD Paine,10.0,29.0,29.0,2.0,2.0,0.0,0.0,34.48275862068966,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0
